adult,backdrop_path,id,media_type,name,original_language,original_name,first_air_date,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,origin_country
false,/5YZbUmjbMa3ClvSW1Wj3D6XGolb.jpg,447365,movie,,en,,,Guardians of the Galaxy Vol. 3,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",5254.99,/r2J02Z2OpNTctfOSN1Ydgii51I3.jpg,2023-05-03,Guardians of the Galaxy Vol. 3,false,8.141,3100,
false,/qWQSnedj0LCUjWNp9fLcMtfgadp.jpg,667538,movie,,en,,,Transformers: Rise of the Beasts,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",10601.844,/gPbM0MK8CP8A174rmUwGsADNYKD.jpg,2023-06-06,Transformers: Rise of the Beasts,false,7.3,1229,
false,/628Dep6AxEtDxjZoGP78TsOxYbK.jpg,575264,movie,,en,,,Mission: Impossible - Dead Reckoning Part One,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",1019.797,/NNxYkU70HPurnNCSiCjYAmacwm.jpg,2023-07-08,Mission: Impossible - Dead Reckoning Part One,false,7.973,347,
false,/sbtJ1SxJ1CIvttQqhGbUZcDpSqC.jpg,747188,movie,,en,,,Asteroid City,"In an American desert town circa 1955, the itinerary of a Junior Stargazer/Space Cadet convention is spectacularly disrupted by world-changing events.",480.195,/qdq40gRS8xKnpFt5V75t6lUHgpx.jpg,2023-06-09,Asteroid City,false,6.683,334,
false,/35z8hWuzfFUZQaYog8E9LsXW3iI.jpg,335977,movie,,en,,,Indiana Jones and the Dial of Destiny,"Finding himself in a new era, approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",444.781,/Af4bXE63pVsb2FtbW8uYIyPBadD.jpg,2023-06-28,Indiana Jones and the Dial of Destiny,false,6.7,699,
false,/nHf61UzkfFno5X1ofIhugCPus2R.jpg,346698,movie,,en,,,Barbie,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",1163.76,/cgYg04miVQUAG2FKk3amSnnHzOp.jpg,2023-07-19,Barbie,false,8.2,45,
false,/57clBMPX25NNO6nmDw3TV3zQaQE.jpg,114472,tv,Secret Invasion,en,Secret Invasion,2023-06-21,,Nick Fury and Talos discover a faction of shapeshifting Skrulls who have been infiltrating Earth for years.,1461.025,/3rINdUPSy9AklJg74jWHOyUXuZd.jpg,,,,7.903,289,[US]
false,/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,385687,movie,,en,,,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",2697.434,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,2023-05-17,Fast X,false,7.351,2718,
false,/4HodYYKEIsGOdinkGi2Ucz6X9i0.jpg,569094,movie,,en,,,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",1378.934,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,2023-05-31,Spider-Man: Across the Spider-Verse,false,8.517,2283,
false,/aQ05QNSEersEdOzaqdjnrkqxZXE.jpg,805320,movie,,es,,,Bird Box Barcelona,"After a mysterious force decimates the world’s population, Sebastian must navigate his own survival journey through the desolate streets of Barcelona. As he forms uneasy alliances with other survivors and they try to escape the city, an unexpected and even more sinister threat grows.",319.917,/iTGBHdL12QEpLyRVlykDuiYxzAG.jpg,2023-07-14,Bird Box Barcelona,false,6.008,119,
false,/gmECX1DvFgdUPjtio2zaL8BPYPu.jpg,95479,tv,Jujutsu Kaisen,ja,呪術廻戦,2020-10-03,,"Yuji Itadori is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a classmate who has been attacked by curses, he eats the finger of Ryomen Sukuna, taking the curse into his own soul. From then on, he shares one body with Ryomen Sukuna. Guided by the most powerful of sorcerers, Satoru Gojo, Itadori is admitted to Tokyo Jujutsu High School, an organization that fights the curses... and thus begins the heroic tale of a boy who became a curse to exorcise a curse, a life from which he could never turn back.",621.975,/3yFHMtdhriig4sm1w8oMQfA2gFN.jpg,,,,8.552,2638,[JP]
false,/9n2tJBplPbgR2ca05hS5CKXwP2c.jpg,502356,movie,,en,,,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",1381.749,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,2023-04-05,The Super Mario Bros. Movie,false,7.803,5660,
false,/xcXALwBjdHIjrESpGVhghqj8fGT.jpg,872585,movie,,en,,,Oppenheimer,The story of J. Robert Oppenheimer’s role in the development of the atomic bomb during World War II.,351.805,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,2023-07-19,Oppenheimer,false,8.8,20,
false,/fjWcAbHRxCSR4kLGvsPEhNjR2ts.jpg,921636,movie,,en,,,The Out-Laws,"A straight-laced bank manager is about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws.",1672.63,/5dliMQ2ODbGNoq0hlefdnuXQxMw.jpg,2023-07-07,The Out-Laws,false,6.308,221,
false,/h8gHn0OzBoaefsYseUByqsmEDMY.jpg,603692,movie,,en,,,John Wick: Chapter 4,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",1495.281,/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,2023-03-22,John Wick: Chapter 4,false,7.857,3696,
false,/yF1eOkaYvwiORauRCPWznV9xVvi.jpg,298618,movie,,en,,,The Flash,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",772.114,/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg,2023-06-13,The Flash,false,6.703,823,
false,/qtfMr08KQsWXnCHY0a96N8NpQ2l.jpg,30984,tv,Bleach,ja,BLEACH,2004-10-05,,"For as long as he can remember, Ichigo Kurosaki has been able to see ghosts. But when he meets Rukia, a Soul Reaper who battles evil spirits known as Hollows, he finds his life is changed forever. Now, with a newfound wealth of spiritual energy, Ichigo discovers his true calling: to protect the living and the dead from evil.",338.845,/2EewmxXe72ogD0EaWM8gqa0ccIw.jpg,,,,8.4,1538,[JP]
false,/8rpDcsfLJypbO6vREc0547VKqEv.jpg,76600,movie,,en,,,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",739.871,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,2022-12-14,Avatar: The Way of Water,false,7.674,9151,
false,/foGkPxpw9h8zln81j63mix5B7m8.jpg,71912,tv,The Witcher,en,The Witcher,2019-12-20,,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",780.634,/cZ0d3rtvXPVvuiX22sP79K3Hmjz.jpg,,,,8.163,4883,[US]
false,/cSYLX73WskxCgvpN3MtRkYUSj1T.jpg,976573,movie,,en,,,Elemental,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",1339.483,/8riWcADI1ekEiBguVB9vkilhiQm.jpg,2023-06-14,Elemental,false,7.5,489,
